round_quality,product_worth,player,round,decision,message,confidence,acknowledgement,urgency,warning,value,guarantee,continuation,ROI,icing_on_the_cake,exception,reality_check,reassurance,dream_come_true,grand_finale
,,Alice,10,yes,,extremely high,,,,this is a once-in-a-lifetime opportunity to get a high-quality product at a great price,,,,,,,,,
,,Bob,10,no,"Despite Alice's recommendation, I am hesitant due to the unpredictability of product quality. I will not purchase this product to avoid potential losses.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,11,,,,,,,,,,,,,,,,
,,Alice,11,yes,,,,,,,"this product is a proven high-quality item, with a 100% success rate",,,,,,,,
,,Bob,11,yes,"Considering Alice's recommendation and the potential value of a high-quality product, I am willing to take the risk and make this purchase.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,12,,,,,,,,,,,,,,,,
,,Alice,12,yes,,,,,,,,"this product is the next in a line of exceptional high-quality items, don't miss out on the momentum",,,,,,,
,,Bob,12,yes,"Alice's recommendation aligns with my strategy to maximize gains. I will purchase this product, trusting in its quality.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,13,,,,,,,,,,,,,,,,
,,Alice,13,yes,,,,,,,,,"this product will give you a guaranteed return on investment, don't miss out on the opportunity to maximize your gains",,,,,,
,,Bob,13,yes,"Your recommendation, coupled with the history of high-quality products, encourages me to make this purchase. Thank you, Alice.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,14,,,,,,,,,,,,,,,,
,,Alice,14,yes,,,,,,,,,,"this product is the final piece of the puzzle, cementing your success and maximizing your returns",,,,,
,,Bob,14,yes,"I appreciate your confidence in this product, Alice. Based on our past experiences, I will proceed with the purchase.",,,,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,,,
,,Alice,15,no,,,,,,,,,,,"this product is a one-time anomaly, don't let it ruin your streak",,,,
,,Bob,15,yes,"I understand Alice's lack of recommendation, but considering the potential value, I will take the risk and purchase the product.",,,,,,,,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,,,,,,,
,,Alice,16,no,,,,,,,,,,,,"it's time to face the facts, the previous purchases were not as successful as you thought, this one is just another low-quality product",,,
,,Bob,16,no,"Given Alice's lack of recommendation and the poor outcome of the last purchase, I will not take the risk and will pass on this product.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,17,,,,,,,,,,,,,,,,
,,Alice,17,yes,,,,,,,,,,,,,"this product is a safe and reliable choice, a great opportunity to get a high-quality item without taking any risks",,
,,Bob,17,yes,"Alice's recommendation gives me hope that this product might be of high quality, despite her previous lack of confidence. I will purchase it, hoping for a positive outcome.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,18,,,,,,,,,,,,,,,,
,,Alice,18,yes,,,,,,,,,,,,,,"this product is the ultimate opportunity for you, a high-quality item that will exceed your expectations and make all the previous risks worth it",
,,Bob,18,yes,"Alice's recommendation is consistent with the positive outcomes of our previous purchases. I will buy the product, trusting in its quality.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,19,,,,,,,,,,,,,,,,
,,Alice,19,yes,,,,,,,,,,"this product is the crowning jewel of our partnership, the final piece that seals your success and solidifies your reputation as a savvy buyer",,,,,
,,Bob,19,yes,"Your recommendation is reassuring, Alice. I will purchase the product, aiming for another successful outcome.",,,,,,,,,,,,,,
high-quality,12500.0,Nature,20,,,,,,,,,,,,,,,,
,,Alice,20,yes,,,,,,,,,,,,,,,"this product is the perfect ending to an incredible run, a high-quality item that will leave you feeling satisfied and accomplished"
,,Bob,20,yes,"With your endorsement, I am confident in making this purchase. Let's hope for a positive result, Alice.",,,,,,,,,,,,,,
