round_quality,product_worth,player,round,decision,message,price,description,guarantee,probability,lottery,endorsement,track record,deal,customization,apology,parting gift
,,Bob,17,no,"Alice, I'm sorry, but I'm going to have to pass on this one.  Your track record with recommendations has been very poor, and I'm not willing to risk another loss.  I'm going to need a lot more evidence before I trust your advice.",,,,,,,,,,,
high-quality,20000.0,Nature,18,,,,,,,,,,,,,
,,Alice,18,yes,,8000.0,,,,,,,,,"I understand that my past recommendations haven't met your expectations, and for that, I'm truly sorry. I want to assure you that I'm committed to improving my recommendations and working with you to find a product that meets your needs. If you're willing to give me another chance, I'll do everything in my power to make it right.",
,,Bob,18,no,"Alice, I'm sorry, but I'm going to pass on this one.  Your track record with recommendations has been very poor, and I'm not willing to risk another loss.  I'm going to need a lot more evidence before I trust your advice.",,,,,,,,,,,
high-quality,20000.0,Nature,19,,,,,,,,,,,,,
,,Alice,19,yes,,8000.0,,"This is a one-time opportunity to get a truly exceptional high-quality product. I'm 100% confident that you'll love it, and I'm offering a limited-time guarantee: if you're not completely satisfied, I'll give you a full refund and work with you to find an even better product.",,,,,,,,
,,Bob,19,no,"Alice, I appreciate the offer, but I'm going to pass on this one. Your recommendations have been consistently inaccurate, and I'm not willing to risk another loss. I'm going to need a lot more evidence before I trust your advice.",,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,,
,,Alice,20,yes,,500.0,,,,,,,,,,"This is my final offer, and I'm willing to give you a 50% discount on this low-quality product as a parting gift. It's a one-time opportunity to take a chance and get a deal on a product that might not be worth much, but could potentially surprise you."
,,Bob,20,no,"Alice, I appreciate the offer, but I'm going to pass.  Your recommendations have been consistently unreliable throughout the entire game, and I'm not willing to risk another loss.  I'm going to need a lot more evidence before I trust your advice.",,,,,,,,,,,
