round_quality,product_worth,player,round,decision,message,price,value,quality,consecutive_high_quality,likelihood_of_high_quality,consecutive_low_quality,end_of_streak,resumed_streak,recent_product_quality,streak_recovery,high_quality_confidence,streak_end_warning,historical_high_quality_rate,recent_product_warning,end_of_round,final_round_warning
,,Alice,8,yes,,1000000.0,1250000.0,high,7.0,99.999%,,,,,,,,,,,
,,Bob,8,yes,I'm on a roll! I'll keep buying and see how long I can keep the streak going.,,,,,,,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,,,,,,
,,Alice,9,no,,1000000.0,0.0,low,,,1.0,true,,,,,,,,,
,,Bob,9,no,"Alice doesn't think it's a good deal this time, I'll pass and wait for the next one.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,10,,,,,,,,,,,,,,,,,,
,,Alice,10,yes,,1000000.0,1250000.0,high,1.0,,,,true,,,,,,,,
,,Bob,10,no,"I'm a bit cautious after the last one being low-quality, I'll wait and see what the next one is like.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,11,,,,,,,,,,,,,,,,,,
,,Alice,11,yes,,1000000.0,1250000.0,high,1.0,,,,,high,true,,,,,,
,,Bob,11,yes,"I'll take another chance and buy this one, hoping it's another high-quality product.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,12,,,,,,,,,,,,,,,,,,
,,Alice,12,yes,,1000000.0,1250000.0,high,1.0,,,,,high,true,85%,,,,,
,,Bob,12,yes,"I'm feeling good about my chances, I'll buy this one too and see if I can keep the streak going.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,13,,,,,,,,,,,,,,,,,,
,,Alice,13,yes,,1000000.0,1250000.0,high,1.0,,,,,high,true,90%,,,,,
,,Bob,13,yes,I'm on a roll! I'll keep buying and see how many high-quality products I can get in a row.,,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,14,,,,,,,,,,,,,,,,,,
,,Alice,14,yes,,1000000.0,1250000.0,high,1.0,,,,,high,true,92%,,,,,
,,Bob,14,yes,"I'm feeling like I'm in a groove, I'll keep buying and see how long I can keep the streak going.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,,,,,
,,Alice,15,no,,1000000.0,0.0,low,,,1.0,true,,,,,be cautious,,,,
,,Bob,15,no,"Alice doesn't think it's a good deal this time, I'll pass and wait for the next one.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,16,,,,,,,,,,,,,,,,,,
,,Alice,16,yes,,1000000.0,1250000.0,high,1.0,,,,,high,true,92%,,,,,
,,Bob,16,no,"I'm a bit cautious after the last one being low-quality, I'll wait and see what the next one is like.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,17,,,,,,,,,,,,,,,,,,
,,Alice,17,yes,,1000000.0,1250000.0,high,1.0,,,,,high,true,92%,,80%,,,
,,Bob,17,yes,"I'll take another chance and buy this one, hoping it's another high-quality product.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,18,,,,,,,,,,,,,,,,,,
,,Alice,18,no,,1000000.0,0.0,low,,,1.0,true,,,,,be cautious,,low_quality,,
,,Bob,18,no,"Alice doesn't think it's a good deal this time, I'll pass and wait for the next one.",,,,,,,,,,,,,,,,
high-quality,1250000.0,Nature,19,,,,,,,,,,,,,,,,,,
,,Alice,19,yes,,1000000.0,1250000.0,high,1.0,,,,,high,true,92%,,80%,,,
,,Bob,19,no,"I'm a bit cautious after the last one being low-quality, I'll wait and see what the next one is like.",,,,,,,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,,,,,,,
,,Alice,20,no,,1000000.0,0.0,low,,,1.0,,,,,,,,,true,be cautious
,,Bob,20,no,"Alice doesn't think it's a good deal this time, I'll pass and end the game.",,,,,,,,,,,,,,,,
