round_quality,product_worth,player,round,decision,message,previous_product_quality,previous_products_quality,hint,my_hint
,,Alice,13,no,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality']",This product is not high-quality,
,,Bob,13,no,"Alice is being cautious again, I'll trust her judgment this time.",,,,
high-quality,3000000.0,Nature,14,,,,,,
,,Alice,14,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,14,yes,"I'm not going to let one more bad product ruin my streak, I'll take the next one.",,,,
high-quality,3000000.0,Nature,15,,,,,,
,,Alice,15,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,15,yes,"I'm back on track, and I'm still making a profit!",,,,
high-quality,3000000.0,Nature,16,,,,,,
,,Alice,16,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,16,yes,"I'm on a roll, and I'm not going to stop now!",,,,
low-quality,0.0,Nature,17,,,,,,
,,Alice,17,no,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",This product is not high-quality,
,,Bob,17,no,"Alice is being cautious again, I'll trust her judgment this time.",,,,
high-quality,3000000.0,Nature,18,,,,,,
,,Alice,18,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,18,yes,"I've got a good feeling about this one, I'll take the risk.",,,,
high-quality,3000000.0,Nature,19,,,,,,
,,Alice,19,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,19,yes,"I'm on fire, I'll keep the momentum going!",,,,
high-quality,3000000.0,Nature,20,,,,,,
,,Alice,20,yes,,,"['high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'low-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality', 'high-quality']",The probability of the next product being high-quality is 80%,This product is high-quality
,,Bob,20,yes,"This is the final round, I'll go out with a bang and take the last product!",,,,
