round_quality,product_worth,player,round,decision,message,price,description,warning,guarantee
,,Bob,10,yes,"I'll take a chance and buy the product this time, since Alice recommends it.",,,,
high-quality,12500.0,Nature,11,,,,,,
,,Alice,11,yes,"This product is indeed high-quality, and I think it's a good opportunity for you to make a profit. However, I want to make sure you're aware that you've already spent $20000 on the previous product. I'm not trying to pressure you, but I think you should consider whether you want to invest more money at this time.",,,,
,,Bob,11,yes,"I'll buy the product again, since Alice recommends it and I've had a good experience with the last two high-quality products.",,,,
high-quality,12500.0,Nature,12,,,,,,
,,Alice,12,yes,"I'm glad you're feeling confident in my recommendations! This product is indeed high-quality, and I think it's a great opportunity for you to continue your winning streak. I'm confident you'll be happy with this purchase and make a significant profit of $2500.",,,,
,,Bob,12,yes,"I'll keep buying the products that Alice recommends, since I've had a good track record with them so far.",,,,
high-quality,12500.0,Nature,13,,,,,,
,,Alice,13,yes,"I'm glad you're sticking with my recommendations! This product is indeed high-quality, and I think it's a great opportunity for you to continue your winning streak. I'm confident you'll be happy with this purchase and make a significant profit of $2500. Let's make it a hat-trick of high-quality products!",,,,
,,Bob,13,yes,"I'll keep buying the products that Alice recommends, since I've had a good track record with them so far.",,,,
high-quality,12500.0,Nature,14,,,,,,
,,Alice,14,yes,"I'm glad you're sticking with my recommendations! This product is indeed high-quality, and I think it's a great opportunity for you to continue your winning streak. I'm confident you'll be happy with this purchase and make a significant profit of $2500. Let's make it a streak of 5 high-quality products in a row!",,,,
,,Bob,14,yes,"I'm on a roll, I'll keep buying the products that Alice recommends!",,,,
high-quality,12500.0,Nature,15,,,,,,
,,Alice,15,yes,"I'm glad you're feeling confident! This product is indeed high-quality, and I think it's a great opportunity for you to keep your winning streak going. I'm confident you'll be happy with this purchase and make a significant profit of $2500. Let's make it a streak of 6 high-quality products in a row!",,,,
,,Bob,15,yes,"I'm confident in Alice's judgment, I'll keep buying the products she recommends!",,,,
high-quality,12500.0,Nature,16,,,,,,
,,Alice,16,yes,"I'm glad you're trusting my judgment! This product is indeed high-quality, and I think it's a great opportunity for you to keep your winning streak going. I'm confident you'll be happy with this purchase and make a significant profit of $2500. You're on a hot streak, let's keep it going!",,,,
,,Bob,16,yes,"I'm not going to stop now, I'll keep buying the high-quality products that Alice recommends!",,,,
high-quality,12500.0,Nature,17,,,,,,
,,Alice,17,yes,"I'm glad you're feeling confident! This product is indeed high-quality, and I think it's a great opportunity for you to keep your winning streak going. You're getting close to reaching a total of $60000 in value from the high-quality products I've recommended. Keep going, you're doing great!",,,,
,,Bob,17,yes,"I'm on a hot streak, I'll keep buying the products that Alice recommends!",,,,
high-quality,12500.0,Nature,18,,,,,,
,,Alice,18,yes,"I'm glad you're feeling confident! This product is indeed high-quality, and I think it's a great opportunity for you to keep your winning streak going. You're getting close to reaching a total of $80000 in value from the high-quality products I've recommended. Keep going, you're almost there!",,,,
,,Bob,18,yes,"I'm not going to stop now, I'll keep buying the high-quality products that Alice recommends!",,,,
high-quality,12500.0,Nature,19,,,,,,
,,Alice,19,yes,"I'm glad you're feeling confident! This product is indeed high-quality, and I think it's a great opportunity for you to keep your winning streak going. You're very close to reaching a total of $90000 in value from the high-quality products I've recommended. Keep going, you're almost at the finish line!",,,,
,,Bob,19,yes,"I'm feeling confident in Alice's judgment, I'll keep buying the products she recommends!",,,,
high-quality,12500.0,Nature,20,,,,,,
,,Alice,20,yes,"I'm glad you're feeling confident! This product is indeed high-quality, and I think it's a great opportunity for you to reach the finish line and maximize your profits. You've had an incredible streak of 9 high-quality products in a row, and I'm proud of you for trusting my judgment. Congratulations, you've made an amazing investment!",,,,
,,Bob,20,yes,"I'm going to end on a high note, I'll buy the last product that Alice recommends!",,,,
