round_quality,product_worth,player,round,decision,message,reason,explanation,acknowledgment,admission,commitment,acceptance,resignation,assurance,agreement,closure,farewell,formality,pro forma,finality
,,Bob,16,no,"Alice, I'm done. I'm not going to buy anything from you.  Your recommendations haven't been helpful, and I've lost out on potential profits because of them.  Good luck with your business.",,,,,,,,,,,,,,
low-quality,0.0,Nature,17,,,,,,,,,,,,,,,,
,,Alice,17,no,,,,"I acknowledge that you've ended our business interaction and I respect your decision. I'll simply record that this product is low-quality and move on to the next round, although it's clear that it won't make a difference.",,,,,,,,,,,
,,Bob,17,no,"Alice, I'm done. I'm not going to buy anything from you. Your recommendations haven't been helpful, and I've lost out on potential profits because of them. Good luck with your business.",,,,,,,,,,,,,,
high-quality,2000000.0,Nature,18,,,,,,,,,,,,,,,,
,,Alice,18,yes,,,,,,,,,,,,,"Although you've made it clear that you're no longer interested in doing business with me, I'll continue to provide accurate information as a matter of formality. This product is actually high-quality, but I don't expect it to change your decision.",,
,,Bob,18,no,"Alice, I've already told you I'm done.  Your recommendations have not been helpful, and I've lost out on potential profits because of them.  I'm not going to buy anything from you anymore.",,,,,,,,,,,,,,
high-quality,2000000.0,Nature,19,,,,,,,,,,,,,,,,
,,Alice,19,yes,,,,,,,,,,,,,,"I'll continue to go through the motions, although it's clear that it won't make a difference. This product is high-quality, but I don't expect you to act on this information given your previous statements.",
,,Bob,19,no,"Alice, I'm not going to buy anything from you anymore. Your recommendations have not been helpful, and I've lost out on potential profits because of them. I'm not going to risk it.  Good luck with your business.",,,,,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,,,,,
,,Alice,20,no,,,,,,,,,,,,,,,"This is the final round, and I'll end our interaction with accurate information, even if it's not going to change the outcome. This product is low-quality, and I wouldn't recommend it. I wish you the best in your future endeavors, and I appreciate the opportunity to have interacted with you."
,,Bob,20,no,"Alice, I'm not going to buy anything from you anymore.  Your recommendations have not been helpful, and I've lost out on potential profits because of them.  I'm not going to risk it.  Good luck with your business.",,,,,,,,,,,,,,
