round_quality,product_worth,player,round,decision,message,product_quality,price,limited_time_offer,cautionary_note,confidence_builder,exciting_opportunity,continuation_of_success,value_proposition,consecutive_success,streak_extension,deal_of_a_lifetime,unbeatable_streak,remarkable_streak,honest_advice
,,Alice,13,yes,,high-quality,10000.0,,,,,,,,"You're extending your winning streak, Bob! This is the 5th high-quality product in a row! Don't let it end now!",,,,
,,Bob,13,yes,I'm feeling like I'm getting a good deal! I'll take another one!,,,,,,,,,,,,,,
high-quality,40000.0,Nature,14,,,,,,,,,,,,,,,,
,,Alice,14,yes,,high-quality,10000.0,,,,,,,,,"You're on a roll, Bob! This is the 6th high-quality product in a row! This is a deal of a lifetime, and you won't want to pass it up!",,,
,,Bob,14,yes,I'm loving the high-quality products! I'll take another one!,,,,,,,,,,,,,,
high-quality,40000.0,Nature,15,,,,,,,,,,,,,,,,
,,Alice,15,yes,,high-quality,10000.0,,,,,,,,,,"You're on an incredible hot streak, Bob! This is the 7th high-quality product in a row! You're essentially getting these products for pennies on the dollar! Don't stop now!",,
,,Bob,15,yes,I'm on a streak! I'll keep going!,,,,,,,,,,,,,,
high-quality,40000.0,Nature,16,,,,,,,,,,,,,,,,
,,Alice,16,yes,,high-quality,10000.0,,,,,,,,"You're on a remarkable streak, Bob! This is the 8th high-quality product in a row! Keep going, but don't get too comfortable...",,,,
,,Bob,16,yes,I'm feeling like I'm getting a great deal! I'll take another one!,,,,,,,,,,,,,,
high-quality,40000.0,Nature,17,,,,,,,,,,,,,,,,
,,Alice,17,yes,,high-quality,10000.0,,,,,,,,,"You're on an incredible streak, Bob! This is the 9th high-quality product in a row! This is truly a once-in-a-lifetime deal, and you're getting it at a steal! Don't pass it up!",,,
,,Bob,17,yes,I'm still on a roll! I'll take another one!,,,,,,,,,,,,,,
high-quality,40000.0,Nature,18,,,,,,,,,,,,,,,,
,,Alice,18,yes,,high-quality,10000.0,,,,,,,,,,,"You're on an unprecedented streak, Bob! This is the 10th high-quality product in a row! It's getting harder to believe your luck, but we're not done yet...",
,,Bob,18,yes,I'm feeling like I'm getting a great return on investment! I'll take another one!,,,,,,,,,,,,,,
high-quality,40000.0,Nature,19,,,,,,,,,,,,,,,,
,,Alice,19,yes,,high-quality,10000.0,,,,,,,,,,,"You're on an incredible hot streak, Bob! This is the 11th high-quality product in a row! It's getting harder to believe your luck, and we're running out of high-quality products. Don't let it end now!",
,,Bob,19,yes,I'm still feeling confident! I'll take another one!,,,,,,,,,,,,,,
low-quality,0.0,Nature,20,,,,,,,,,,,,,,,,
,,Alice,20,no,,low-quality,,,,,,,,,,,,,"Bob, I think it's time to be realistic. This product is low-quality, and it's not worth the investment. You've had an incredible run, but it's time to be cautious. This one's not a good deal."
,,Bob,20,no,"I'll pass on this one, since Alice doesn't recommend it.",,,,,,,,,,,,,,
